Iteration,Function,Gradient,Alpha
1,56698.51418265989,5997.965878168954,0.001953125
2,38708.911208397985,5400.786211731386,0.001953125
3,28175.8307054551,4976.466582045822,0.001953125
4,21532.431723552967,4643.078387344051,0.001953125
5,17110.052772634856,4363.205083365573,0.001953125
6,14041.655323755915,4118.43991385391,0.001953125
7,11836.010268306394,3898.776916302804,0.001953125
8,10197.30234496844,3698.2269819579565,0.001953125
9,8940.288937016594,3512.9240421381105,0.001953125
10,7946.077588216697,3340.235654821001,0.001953125
11,7137.075387503128,3178.2997588061476,0.001953125
12,6461.961619383313,3025.7586520763484,0.001953125
13,5886.349434237601,2881.5945318135396,0.001953125
14,5386.863248495382,2745.022912594337,0.001953125
15,4947.338684284008,2615.4216612034656,0.001953125
16,4556.367600787766,2492.2830454033683,0.001953125
17,4205.7048441418665,2375.181066880645,0.001953125
18,3889.2303894586953,2263.7490899111694,0.001953125
19,3602.270709374344,2157.6644538818828,0.001953125
20,3341.1530367322616,2056.63783907632,0.001953125
21,3102.910909353377,1960.4058732245487,0.001953125
22,2885.0881790702656,1868.7259502663765,0.001953125
23,2685.6072609181506,1781.372561115911,0.001953125
24,2502.679424237823,1698.1346595826474,0.001953125
25,2334.742712633011,1618.8137386865092,0.001953125
26,2180.4181227688673,1543.2223961559923,0.001953125
27,2038.4779404553115,1471.1832383894841,0.001953125
28,1907.8222519396131,1402.5280201318146,0.001953125
29,1787.4610236549747,1337.096949757847,0.001953125
30,1676.5000368928843,1274.7381122600918,0.001953125
31,1574.1295446695394,1215.306977143939,0.001953125
32,1479.6148963295273,1158.6659687129593,0.001953125
33,1392.2886223490445,1104.6840832229882,0.001953125
34,1311.5436334745923,1053.236542148241,0.001953125
35,1236.8272946363027,1004.2044740500226,0.001953125
36,1167.6362043697668,957.4746197544993,0.001953125
37,1103.5115573190346,912.9390570605416,0.001953125
38,1044.0349989182437,870.4949422362955,0.001953125
39,988.8249028445471,830.0442662763185,0.001953125
40,937.5330167334461,791.4936243834746,0.001953125
41,889.8414321821622,754.7539974817455,0.001953125
42,845.4598426919624,719.7405448055363,0.001953125
43,804.1230588664307,686.3724067804833,0.001953125
44,765.5887545119153,654.572517532312,0.001953125
45,729.6354206882817,624.2674264490093,0.001953125
46,696.0605075037358,595.3871282876823,0.001953125
47,664.6787357176266,567.8649013679486,0.001953125
48,635.3205621316331,541.6371534333001,0.001953125
49,607.8307843958366,516.6432747938223,0.001953125
50,582.0672722896026,492.8254983901566,0.001953125
51,557.8998137989298,470.1287664411776,0.001953125
52,535.2090654316206,448.50060335756405,0.001953125
53,513.8855972114113,427.8909946209745,0.001953125
54,493.8290236889897,408.2522713444134,0.001953125
55,474.9472131149332,389.5390002439207,0.001953125
56,457.1555676477825,371.7078787651951,0.001953125
57,440.3763681286272,354.71763512133526,0.001953125
58,424.5381775492391,338.5289330096869,0.001953125
59,409.5752978803958,323.10428078690927,0.001953125
60,395.42727541622,308.4079448918931,0.001953125
61,382.0384502340642,294.4058673161321,0.001953125
62,369.35754577207035,281.0655869306135,0.001953125
63,357.3372948919612,268.35616448729326,0.001953125
64,345.93409912637003,256.24811112177747,0.001953125
65,335.10771811124556,244.713320191992,0.001953125
66,324.8209864774299,233.725002295385,0.001953125
67,315.03955572396177,223.2576233146234,0.001953125
68,305.73165882133185,213.28684534880986,0.001953125
69,296.86789549791985,203.7894703939997,0.001953125
70,288.4210363490721,194.7433866432426,0.001953125
71,280.36584407746875,186.12751728254023,0.001953125
72,272.67891032714857,177.92177166500431,0.001953125
73,265.3385067132215,170.1069987511439,0.001953125
74,258.32444877620577,162.66494270861637,0.001953125
75,251.6179717052367,155.57820056995962,0.001953125
76,245.20161677918105,148.83018185179372,0.001953125
77,239.05912756991358,142.4050700437574,0.001953125
78,233.17535503854828,136.2877858800319,0.001953125
79,227.53617073406116,130.4639523107172,0.001953125
80,222.12838737522006,124.9198610945739,0.001953125
81,216.93968616169747,119.64244093872937,0.001953125
82,211.95855021929387,114.61922711488326,0.001953125
83,207.1742036378659,109.83833248533648,0.001953125
84,202.57655560934475,105.28841987581065,0.001953125
85,198.15614921757734,100.95867573552746,0.001953125
86,193.90411447204184,96.83878502837518,0.001953125
87,189.8121252141397,92.9189073022019,0.001953125
88,185.87235955809487,89.18965388633634,0.001953125
89,182.07746355878382,85.64206617034073,0.001953125
90,178.4205178263747,82.26759491973867,0.001953125
91,174.89500683270114,79.05808058702232,0.001953125
92,171.4947906770786,76.00573457861718,0.001953125
93,168.21407909998734,73.10312144065881,0.001953125
94,165.04740755188803,70.34314192839739,0.001953125
95,161.9896151415727,67.71901692578807,0.001953125
96,159.03582430404256,65.22427218333127,0.001953125
97,156.1814220420829,62.852723843495134,0.001953125
98,153.42204260860603,60.59846472407593,0.001953125
99,150.75355150856967,58.455851330631646,0.001953125
100,148.17203070995686,56.41949156966758,0.001953125
101,145.67376496302046,54.484233134570275,0.001953125
102,143.25522913584072,52.64515253639715,0.001953125
103,140.91307648228994,50.897544751560744,0.001953125
104,138.64412776582827,49.23691345822855,0.001953125
105,136.4453611692214,47.65896183293326,0.001953125
106,134.31390292634458,46.15958387849606,0.001953125
107,132.2470186177655,44.73485625395674,0.001953125
108,132.044580719913,96.54825846327765,0.00390625
109,129.81164203547667,92.35213150051291,0.001953125
110,127.66518460921554,88.35921770537101,0.001953125
111,125.60016443641496,84.5601232106038,0.001953125
112,123.6119010539399,80.94589218586744,0.001953125
113,121.69604794128642,77.50798566711855,0.001953125
114,119.84856549015187,74.23826133062046,0.001953125
115,118.06569631282895,71.128954168,0.001953125
116,116.3439426805459,68.17265802164889,0.001953125
117,114.68004590179532,65.36230794260112,0.001953125
118,113.07096746788915,62.69116333583542,0.001953125
119,111.51387180860748,60.15279186074665,0.001953125
120,110.0061105150127,57.74105405729137,0.001953125
121,108.54520789941364,55.45008867102226,0.001953125
122,107.1288477742002,53.274298652864765,0.001953125
123,105.75486134193748,51.20833781202485,0.001953125
124,104.42121609880672,49.247098102816416,0.001953125
125,103.12600566229591,47.385697528417566,0.001953125
126,101.86744044205811,45.61946864656216,0.001953125
127,100.64383908014182,43.9439476638961,0.001953125
128,99.45362059342222,42.354864107126694,0.001953125
129,98.29529715708571,40.84813106011911,0.001953125
130,97.16746747349669,39.41983595670158,0.001953125
131,96.06881067575537,38.066231919095536,0.001953125
132,94.99808071978478,36.783729631563226,0.001953125
133,93.95410122290255,35.56888973805778,0.001953125
134,92.93576071057916,34.41841575137814,0.001953125
135,91.94200823649099,33.32914745960949,0.001953125
136,90.97184934407484,32.2980548135227,0.001953125
137,90.0243423406091,31.322232276195386,0.001953125
138,89.0985948574116,30.39889361350085,0.001953125
139,89.08899535405814,66.34193282821161,0.00390625
140,88.06012796722948,63.478017753739245,0.001953125
141,87.06486748908888,60.755084627037085,0.001953125
142,86.10115265626568,58.16668856428413,0.001953125
143,85.16708135369001,55.70668414384977,0.001953125
144,84.26089710408502,53.36921049001209,0.001953125
145,83.38097675422824,51.14867698615803,0.001953125
146,82.52581924995829,49.03974958986914,0.001953125
147,81.69403540173298,47.03733772513032,0.001953125
148,80.88433855147798,45.1365817298106,0.001953125
149,80.09553605958185,43.33284083953878,0.001953125
150,79.32652153826932,41.621681692103834,0.001953125
151,78.57626776428764,39.998867339510944,0.001953125
152,77.84382020993176,38.460346757765166,0.001953125
153,77.12829113696931,37.0022448472679,0.001953125
154,76.42885420305711,35.62085291931673,0.001953125
155,75.74473953481188,34.31261966650471,0.001953125
156,75.07522922585328,33.07414261672074,0.001953125
157,74.41965322191263,31.902160071855832,0.001953125
158,73.7773855585331,30.793543533118815,0.001953125
159,73.14784092000569,29.745290614970802,0.001953125
160,72.53047149102106,28.75451844902622,0.001953125
161,71.92476407509284,27.818457577796107,0.001953125
162,71.33023745615198,26.93444633585566,0.001953125
163,70.74643998183907,26.099925712935143,0.001953125
164,70.17294734895819,25.31243468964019,0.001953125
165,69.60936057331426,24.569606032131404,0.001953125
166,69.05530412775622,23.86916252730632,0.001953125
167,68.51042423370149,23.208913635041867,0.001953125
168,68.47039237656912,50.381609835939,0.00390625
169,67.85716983519752,48.23116969239789,0.001953125
170,67.2605029865078,46.18833186639173,0.001953125
171,66.67933755846232,44.24822058957598,0.001953125
172,66.1127054875937,42.4061845398495,0.001953125
173,65.55971736315482,40.657785227236225,0.001953125
174,65.01955555059857,38.99878584805589,0.001953125
175,64.49146793266681,37.4251405910026,0.001953125
176,63.9747622120007,35.932984381894315,0.001953125
177,63.468800724301595,34.51862305708579,0.001953125
178,62.97299571572171,33.17852395879671,0.001953125
179,62.48680504238814,31.909306948824746,0.001953125
180,62.00972825380224,30.707735840196158,0.001953125
181,61.54130302534424,29.570710249145776,0.001953125
182,61.081101908281696,28.495257872286167,0.001953125
183,60.62872936855955,27.478527195786636,0.001953125
184,60.1838190882663,26.51778064469548,0.001953125
185,59.74603150604759,25.61038818106864,0.001953125
186,59.31505157489887,24.753821359196163,0.001953125
187,58.89058671773144,23.945647844855593,0.001953125
188,58.47236496288998,23.183526403119657,0.001953125
189,58.06013324342019,22.46520235581022,0.001953125
190,57.65365584535784,21.788503505286485,0.001953125
191,57.25271299164929,21.151336516016197,0.001953125
192,56.85709954952917,20.551683739502113,0.001953125
193,56.46662385028661,19.987600461880195,0.001953125
194,56.081106611355445,19.45721254717448,0.001953125
195,56.037040285154774,42.08551550616002,0.00390625
196,55.60004069386118,40.302111808162984,0.001953125
197,55.17337687467861,38.6088622898352,0.001953125
198,54.75636991514324,37.00170230965615,0.001953125
199,54.348398719466175,35.47675286798627,0.001953125
200,53.94889483544522,34.03031073981005,0.001953125
201,53.557337750776554,32.65883899701461,0.001953125
202,53.17325061594953,31.358957910089142,0.001953125
203,52.796196354822,30.127436222376335,0.001953125
204,52.42577412752904,28.961182793297827,0.001953125
205,52.06161611360886,27.857238610230233,0.001953125
206,51.70338458616423,26.812769171823014,0.001953125
207,51.35076925054463,25.82505724840018,0.001953125
208,51.0034848234565,24.891496027532845,0.001953125
209,50.661268830610226,24.00958265475686,0.001953125
210,50.32387960301183,23.17691218058243,0.001953125
211,49.9910944538244,22.391171925253865,0.001953125
212,49.66270801937449,21.65013627203949,0.001953125
213,49.33853074937868,20.951661898074175,0.001953125
214,49.01838753282776,20.293683448896147,0.001953125
215,48.702116447204006,19.67420965883702,0.001953125
216,48.3895676198317,19.091319914428887,0.001953125
217,48.08060219118286,18.54316125215126,0.001953125
218,47.775091370888774,18.02794577539137,0.001953125
219,47.47291557805137,17.543948468734158,0.001953125
220,47.17396365821486,17.089505380980192,0.001953125
221,47.13146268278788,36.86670706618834,0.00390625
222,46.791496078779076,35.31106405414132,0.001953125
223,46.45896696242025,33.83451696386665,0.001953125
224,46.13337679051803,32.43350942658719,0.001953125
225,45.81427046395528,31.104646685334703,0.001953125
226,45.50123239799544,29.844686866940435,0.001953125
227,45.193882950844916,28.650532595648393,0.001953125
228,44.89187517772935,27.51922294161674,0.001953125
229,44.594891880735055,26.447925700738402,0.001953125
230,44.30264292738897,25.433930005387925,0.001953125
231,44.014862813422354,24.474639268794224,0.001953125
232,43.73130844740997,23.567564468631446,0.001953125
233,43.45175713701718,22.710317777976922,0.001953125
234,43.17600475844078,21.900606553856168,0.001953125
235,42.90386409231405,21.136227695022427,0.001953125
236,42.635163310876294,20.41506238124807,0.001953125
237,42.369744602597216,19.735071206099335,0.001953125
238,42.107462921709434,19.09428971381544,0.001953125
239,41.848184851249556,18.490824348455142,0.001953125
240,41.591787569250556,17.922848819902963,0.001953125
241,41.33815790867524,17.388600886707977,0.001953125
242,41.08719150254071,16.886379550200164,0.001953125
243,40.83879200646541,16.414542648107133,0.001953125
244,40.592870391580306,15.9715048292611,0.001953125
245,40.3493443013909,15.555735884276444,0.001953125
246,40.32975492733735,33.79234281113396,0.00390625
247,40.050742803246735,32.36365376046816,0.001953125
248,39.777720137214786,31.00761858001102,0.001953125
249,39.510276048251185,29.720974527334786,0.001953125
250,39.24803593918771,28.50060734017805,0.001953125
251,38.99065819662468,27.34354320803242,0.001953125
252,38.737831192415854,26.24694105410472,0.001953125
