Iteration,Function,Gradient,Alpha
1,23826.245682542023,2177.810572413771,0.1
2,111.34963173030368,18.092481767772853,0.010047208335128083
3,108.61570923424583,14.738772632133049,0.010000472105638602
4,106.45425560402325,14.591384828317238,0.010000004721058614
5,1.227042011724254e-12,1.5667142351112604e-06,0.9999998926387036
6,2.521881706182821e-14,2.245832454206155e-06,1.0
7,1.2522699214544168e-12,2.7385087556884487e-06,-1.5665523945620496e-06
8,1.2210502418239349e-12,1.9195836836573353e-06,0.0050120699994717416
9,1.1901415753905869e-12,1.5429644036191962e-06,0.01019155748100571
10,1.1663420349392136e-12,1.5273126989753132e-06,0.01004815186968972
11,1.1426894496497174e-12,1.5117469693382273e-06,0.010191577787733353
12,1.9231658902429258e-22,1.9600213794086222e-10,0.9999995467528494
