Iteration,Function,Gradient,Alpha
1,335329.8101137468,8189.339756332478,0.1
2,3.3480716031847555,2.587690709178651,0.01
3,3.281444978281379,2.561813802086865,0.01
4,3.2161442232135795,2.536195664065996,0.01
5,3.15214295317163,2.5108337074253364,0.01
6,3.0894153084035145,2.485725370351083,0.01
7,3.027935943766284,2.460868116647572,0.01
8,2.9676800184853347,2.4362594354810962,0.01
9,2.9086231861174765,2.411896841126285,0.01
10,2.8507415847137385,2.3877778727150223,0.01
11,2.7940118271779357,2.3639000939878723,0.01
12,2.738410991817095,2.3402610930479937,0.01
13,2.683916613079935,2.3168584821175138,0.01
14,2.6305066724796444,2.2936898972963387,0.01
15,2.5781595896972997,2.2707529983233754,0.01
16,2.5268542138623236,2.2480454683401416,0.01
17,2.4765698150064632,2.22556501365674,0.01
18,2.427286075687834,2.2033093635201726,0.01
19,2.378983082781646,2.181276269884971,0.01
20,2.3316413194342913,2.1594635071861212,0.01
21,2.2852416571775493,2.13786887211426,0.01
22,2.239765348199716,2.1164901833931173,0.01
23,2.1951940177705414,2.095325281559186,0.01
24,2.151509656816907,2.074372028743594,0.01
25,2.1086946146462506,2.053628308456158,0.01
26,2.066731591814791,2.0330920253715967,0.01
27,2.0256036331376763,2.012761105117881,0.01
28,1.9852941208382369,1.992633494066702,0.01
29,1.9457867678335559,1.972707159126035,0.01
30,1.9070656111536681,1.9529800875347747,0.01
31,1.8691150054917103,1.933450286659427,0.01
32,1.831919616882425,1.9141157837928326,0.01
33,1.7954644165064648,1.8949746259549043,0.01
34,1.7597346746179858,1.8760248796953551,0.01
35,1.724715954593088,1.8572646308984015,0.01
36,1.6903941070966857,1.8386919845894176,0.01
37,1.6567552643654617,1.8203050647435235,0.01
38,1.6237858346045888,1.8021020140960882,0.01
39,1.5914724964959572,1.7840809939551272,0.01
40,1.5598021938156879,1.766240184015576,0.01
41,1.5287621301587557,1.7485777821754203,0.01
42,1.4983397637685962,1.731092004353666,0.01
43,1.4685228024696013,1.7137810843101293,0.01
44,1.4392991987004562,1.696643273467028,0.01
45,1.410657144646317,1.6796768407323577,0.01
46,1.3825850674678553,1.662880072325034,0.01
47,1.3550716246252452,1.6462512716017839,0.01
48,1.3281056992952027,1.629788758885766,0.01
49,1.3016763958792281,1.6134908712969083,0.01
50,1.2757730356012313,1.597355962583939,0.01
51,1.2503851521927667,1.5813824029580996,0.01
52,1.2255024876641305,1.5655685789285185,0.01
53,1.2011149881596144,1.5499128931392334,0.01
54,1.177212799895238,1.534413764207841,0.01
55,1.1537862651773227,1.5190696265657626,0.01
56,1.130825918500294,1.503878930300105,0.01
57,1.108322482722138,1.488840140997104,0.01
58,1.0862668653159675,1.4739517395871329,0.01
59,1.06465015469618,1.4592122221912616,0.01
60,1.043463616617726,1.444620099969349,0.01
61,1.0226986906470332,1.4301738989696555,0.01
62,1.0023469867031571,1.4158721599799589,0.01
63,0.9824002816677643,1.4017134383801593,0.01
64,0.9628505160625758,1.3876963039963577,0.01
65,0.9436897907929306,1.3738193409563941,0.01
66,0.9249103639561512,1.3600811475468302,0.01
67,0.906504647713424,1.346480336071362,0.01
68,0.8884652052239268,1.3330155327106483,0.01
69,0.8707847476399705,1.3196853773835417,0.01
70,0.8534561311619351,1.3064885236097064,0.01
71,0.8364723541518126,1.2934236383736093,0.01
72,0.8198265543041915,1.2804894019898732,0.01
73,0.803512005873538,1.2676845079699743,0.01
74,0.7875221169566546,1.2550076628902747,0.01
75,0.7718504268292171,1.2424575862613718,0.01
76,0.7564906033353156,1.230033010398758,0.01
77,0.7414364403289426,1.2177326802947703,0.01
78,0.7266818551663967,1.2055553534918226,0.01
79,0.7122208862485854,1.1934997999569044,0.01
80,0.6980476906122385,1.1815648019573353,0.01
81,0.684156541569055,1.169749153937762,0.01
82,0.6705418263918307,1.1580516623983843,0.01
83,0.6571980440466334,1.1464711457744006,0.01
84,0.6441198029701054,1.1350064343166566,0.01
85,0.6313018188910003,1.12365636997349,0.01
86,0.6187389126950694,1.1124198062737551,0.01
87,0.6064260083324376,1.1012956082110177,0.01
88,0.5943581307666221,1.0902826521289075,0.01
89,0.5825304039643663,1.0793798256076184,0.01
90,0.5709380489254754,1.0685860273515422,0.01
91,0.5595763817518585,1.0579001670780268,0.01
92,0.5484408117549965,1.0473211654072465,0.01
93,0.5375268396010721,1.036847953753174,0.01
94,0.5268300554930107,1.0264794742156422,0.01
95,0.5163461373886998,1.0162146794734859,0.01
96,0.5060708492546647,1.006052532678751,0.01
97,0.49600003935449694,0.9959920073519636,0.01
98,0.48612963857134245,0.9860320872784439,0.01
99,0.4764556587637727,0.9761717664056595,0.01
100,0.4669741911543736,0.9664100487416029,0.01
101,0.45768140475040153,0.9567459482541868,0.01
102,0.44857354479586853,0.9471784887716449,0.01
103,0.4396469312544307,0.9377067038839284,0.01
104,0.4308979573224675,0.9283296368450891,0.01
105,0.42232308797175033,0.9190463404766381,0.01
106,0.4139188585211125,0.9098558770718718,0.01
107,0.40568187323654237,0.900757318301153,0.01
108,0.39760880395913517,0.8917497451181415,0.01
109,0.3896963887603484,0.8828322476669601,0.01
110,0.3819414306240174,0.8740039251902905,0.01
111,0.3743407961545995,0.8652638859383875,0.01
112,0.366891414311123,0.8566112470790037,0.01
113,0.3595902751663316,0.8480451346082136,0.01
114,0.3524344286905216,0.8395646832621315,0.01
115,0.34542098355958023,0.8311690364295102,0.01
116,0.3385471059867446,0.8228573460652151,0.01
117,0.33181001857760833,0.8146287726045629,0.01
118,0.3252069992079139,0.8064824848785173,0.01
119,0.31873537992367645,0.7984176600297321,0.01
120,0.31239254586319537,0.7904334834294349,0.01
121,0.3061759342005178,0.7825291485951406,0.01
122,0.30008303310992746,0.7747038571091891,0.01
123,0.2941113807510399,0.7669568185380972,0.01
124,0.28825856427409413,0.7592872503527162,0.01
125,0.2825222188450397,0.751694377849189,0.01
126,0.2769000266900234,0.7441774340706971,0.01
127,0.27138971615889196,0.7367356597299902,0.01
128,0.26598906080733,0.7293683031326903,0.01
129,0.2606958784972641,0.7220746201013634,0.01
130,0.2555080305151685,0.7148538739003497,0.01
131,0.25042342070791673,0.7077053351613463,0.01
132,0.2454399946358292,0.7006282818097328,0.01
133,0.24055573874257616,0.6936219989916355,0.01
134,0.2357686795415989,0.6866857790017191,0.01
135,0.2310768828187211,0.679818921211702,0.01
136,0.22647845285062854,0.6730207319995849,0.01
137,0.22197153163890104,0.666290524679589,0.01
138,0.2175542981592869,0.6596276194327931,0.01
139,0.21322496762591708,0.6530313432384652,0.01
140,0.20898179077016135,0.6465010298060806,0.01
141,0.20482305313383514,0.6400360195080198,0.01
142,0.20074707437647185,0.6336356593129396,0.01
143,0.19675220759638007,0.6272993027198103,0.01
144,0.19283683866521212,0.6210263096926122,0.01
145,0.18899938557577445,0.6148160465956861,0.01
146,0.1852382978028165,0.6086678861297292,0.01
147,0.18155205567654045,0.6025812072684319,0.01
148,0.17793916976857732,0.5965553951957476,0.01
149,0.1743981802901826,0.5905898412437901,0.01
150,0.17092765650240793,0.5846839428313522,0.01
151,0.16752619613801,0.5788371034030386,0.01
152,0.1641924248348636,0.5730487323690082,0.01
153,0.16092499558064982,0.5673182450453181,0.01
154,0.15772258816859486,0.5616450625948649,0.01
155,0.15458390866403984,0.5560286119689163,0.01
156,0.15150768888162544,0.5504683258492271,0.01
157,0.14849268587288109,0.5449636425907348,0.01
158,0.14553768142401075,0.5395140061648275,0.01
159,0.1426414815636729,0.5341188661031792,0.01
160,0.1398029160805558,0.5287776774421473,0.01
161,0.13702083805055273,0.5234899006677258,0.01
162,0.1342941233733467,0.5182550016610485,0.01
163,0.13162167031821712,0.513072451644438,0.01
164,0.12900239907888458,0.5079417271279937,0.01
165,0.1264352513372148,0.5028623098567138,0.01
166,0.12391918983560421,0.4978336867581466,0.01
167,0.12145319795787568,0.4928553498905651,0.01
168,0.11903627931851396,0.4879267963916595,0.01
169,0.11666745736007554,0.4830475284277429,0.01
170,0.11434577495861004,0.47821705314346546,0.01
171,0.1120702940369337,0.4734348826120308,0.01
172,0.10984009518559873,0.46870053378591053,0.01
173,0.10765427729140532,0.46401352844805144,0.01
174,0.10551195717330634,0.4593733931635709,0.01
175,0.10341226922555755,0.4547796592319352,0.01
176,0.10135436506796895,0.45023186263961584,0.01
177,0.09933741320311637,0.4457295440132197,0.01
178,0.09736059868037436,0.4412722485730875,0.01
179,0.09542312276663491,0.4368595260873566,0.01
180,0.09352420262357887,0.43249093082648304,0.01
181,0.09166307099136964,0.4281660215182182,0.01
182,0.0898389758786414,0.42388436130303603,0.01
183,0.08805118025865644,0.4196455176900057,0.01
184,0.08629896177150918,0.41544906251310565,0.01
185,0.08458161243225615,0.4112945718879746,0.01
186,0.08289843834485423,0.4071816261690948,0.01
187,0.08124875942179163,0.40310980990740386,0.01
188,0.07963190910929799,0.3990787118083298,0.01
189,0.07804723411802295,0.3950879246902465,0.01
190,0.0764940941590743,0.39113704544334404,0.01
191,0.0749718616853087,0.3872256749889106,0.01
192,0.07347992163777106,0.38335341823902147,0.01
193,0.0720176711971794,0.37951988405663123,0.01
194,0.07058451954035552,0.3757246852160649,0.01
195,0.06917988760150244,0.3719674383639042,0.01
196,0.06780320783823256,0.3682477639802652,0.01
197,0.06645392400225172,0.36456528634046254,0.01
198,0.0651314909146069,0.3609196334770579,0.01
199,0.06383537424540624,0.35731043714228733,0.01
200,0.06256505029792264,0.35373733277086444,0.01
201,0.06132000579699398,0.3501999594431558,0.01
202,0.060099737681633805,0.34669795984872426,0.01
203,0.058903752901769295,0.343230980250237,0.01
204,0.05773156821902409,0.33979867044773465,0.01
205,0.05658271001146552,0.3364006837432573,0.01
206,0.055456714082237346,0.3330366769058247,0.01
207,0.05435312547200082,0.3297063101367665,0.01
208,0.053271498275108006,0.3264092470353988,0.01
209,0.05221139545943336,0.32314515456504483,0.01
210,0.05117238868979063,0.31991370301939437,0.01
211,0.050154058154863804,0.31671456598920045,0.01
212,0.04915599239758201,0.31354742032930843,0.01
213,0.04817778814887013,0.31041194612601536,0.01
214,0.047219050164707614,0.3073078266647552,0.01
215,0.046279391066429934,0.30423474839810766,0.01
216,0.04535843118420798,0.3011924009141266,0.01
217,0.04445579840364225,0.29818047690498534,0.01
218,0.043571128015409764,0.2951986721359355,0.01
