Iteration,Function,Gradient,Alpha
1,1090.2282972402309,460.277894919415,0.015625
2,365.3563911932163,258.9851020751883,0.015625
3,135.36982846679692,145.81475763964633,0.015625
4,61.98769450413862,82.25401810475752,0.015625
5,38.175185562606906,46.667343856167584,0.015625
6,30.0652315046912,26.92684955194523,0.015625
7,26.941508674570134,16.256363935089542,0.015625
8,25.412751999588913,10.83480781478034,0.015625
9,25.051908656943187,18.726930851332796,0.03125
10,23.28442500369919,11.902886576672895,0.015625
11,22.24899896123305,8.636628491439359,0.015625
12,21.423842818958462,13.36929266213136,0.03125
13,20.311697531665235,9.144393665119313,0.015625
14,19.838845044978658,15.29162983502311,0.03125
15,18.5838053147171,9.92974634773465,0.015625
16,18.55032574961921,17.734307541861046,0.03125
17,17.060858210845378,11.040579520789537,0.015625
18,16.242581802355293,7.762537475048939,0.015625
19,15.745019398759537,12.525860591800841,0.03125
20,14.843502328933718,8.32866190075127,0.015625
21,14.647146894032945,14.438577056033436,0.03125
22,13.602446322904038,9.159585105091448,0.015625
23,12.993836063430045,6.627648557621662,0.015625
24,12.518486760323473,10.297499470612848,0.03125
25,11.863367531021586,7.025391293550753,0.015625
26,11.596523311496751,11.78667683239762,0.03125
27,10.855519901757177,7.6373811427174605,0.015625
28,10.84921661867935,13.676771447081867,0.03125
29,9.967831925251597,8.50030723433157,0.015625
30,9.486330776794917,5.960444370214722,0.015625
31,9.201774642511086,9.65174953731398,0.03125
32,8.670088339405583,6.402531096573484,0.015625
33,8.563985456834649,11.132500254187518,0.03125
34,7.946434643489553,7.048865824141425,0.015625
35,7.588668202732701,5.086241770660467,0.015625
36,7.314962639934399,7.931792429018031,0.03125
37,6.9290187350654255,5.397704035478655,0.015625
38,6.778725268565401,9.085341356835535,0.03125
39,6.3411742922337115,5.874516395423138,0.015625
40,6.072619199923005,4.364816795404705,0.015625
41,5.823784390030884,6.5447859965140385,0.03125
42,5.540424902849407,4.576953391904857,0.015625
43,5.377831937244859,7.43735721895809,0.03125
44,5.064226955273003,4.922101106655452,0.015625
45,5.007369798631663,8.583638208254465,0.03125
46,4.642281569656822,5.424784231161527,0.015625
47,4.431951982168156,3.9035244495925223,0.015625
48,4.2744310931658775,6.109799171192877,0.03125
49,4.047040143670574,4.147348567234094,0.015625
50,3.96257260283904,7.0033079572753145,0.03125
51,3.7041784104723927,4.518777962569618,0.015625
52,3.5464442493982222,3.348081452413476,0.015625
