Iteration,Function,Gradient,Alpha
1,6.639818082069788e+17,284372481164353.8,0.01
2,4415537362033554.5,6801303437969.467,3.5501542106149385e-11
3,2990121142020923.0,5061934045268.466,3.5504178535828215e-11
4,740455865295503.8,1735281242150.7717,1.3880913944870499e-10
5,286590957787484.5,823831603489.9575,2.1095937693723453e-10
6,100361596141413.7,355815795963.79047,4.001745758813494e-10
7,38145181545567.44,165267943857.051,6.97632228920123e-10
8,13607013850373.557,74796657932.04152,1.2857964076147705e-09
9,4575440788504.652,32882428899.882694,2.327974180070903e-09
10,1488604916502.9417,14163720694.099121,4.143968789130939e-09
11,483029369171.5824,6095356934.85534,7.276731717240294e-09
12,156268036551.52142,2619580939.003679,1.277343803058155e-08
13,50437025834.530304,1125420441.1922383,2.240025320007976e-08
14,16201775358.880999,482953646.5460695,3.927238339363838e-08
15,5163293298.71032,206881660.29758194,6.879407875421623e-08
16,1623032657.6196434,88330297.51666261,1.2034642965791747e-07
17,498627669.13346875,37489216.105475046,2.10012886998956e-07
18,147790281.72670493,15734973.47270439,3.64865527963173e-07
19,41886642.64179607,6464881.406951427,6.287369713539524e-07
20,11874726.46328198,2547821.097741308,1.066976608543068e-06
21,4339817.348278819,928747.7580642473,1.7593851572970323e-06
22,2815699.995416955,303234.6400498691,2.7575144152251394e-06
23,2582677.8785666674,92098.77999821867,4.028396945673226e-06
24,2553984.4765192866,23225.200385335836,5.614889688916547e-06
25,2551262.4644666794,14327.649986747309,7.196017800360711e-06
26,2550436.9096190864,14272.91960164812,4.034722488570963e-06
27,2549447.0513703376,14264.775355757303,4.860814225282438e-06
28,2548458.087314748,14261.275547704598,4.860814225282438e-06
29,2546340.919466735,14255.238559457604,1.0411987852987447e-05
30,2540701.2988497186,14239.49432395918,2.776793855574871e-05
31,2509297.649479797,14184.612386603609,0.0001553814504651552
32,2473133.4382865336,27204.004772923257,0.00019169745379722918
33,2469448.055057399,14133.747036171328,8.187220468097474e-06
34,2468807.567489031,14060.743709622431,3.2178678011420658e-06
35,2467701.4392524455,14035.086708103376,5.602795279546031e-06
36,2466598.034155646,14029.971329250246,5.602795279546031e-06
37,2465052.7036752547,14025.395394661518,7.852043353591945e-06
38,2462408.613478396,14017.950927213815,1.3445131786604744e-05
39,2448236.82417367,14010.271472974033,7.223505770763196e-05
40,2439897.245655588,16735.89280991082,4.3613413779473315e-05
41,2438895.7786656027,13954.112338806044,4.243992051467772e-06
42,2438096.379176073,13948.315067809059,4.106809860451313e-06
43,2437297.442360062,13946.024662346468,4.106809860451313e-06
44,2436242.374094061,13942.999459518487,5.425338118869711e-06
45,1115861.3579426403,217743.00936698046,0.025010506733837062
46,41721699.65494996,5628102.055202912,0.0001939884989846842
