Iteration,Function,Gradient,Alpha
1,1.4987760068427224e+22,5.417948615161539e+17,0.5
2,1.2411835641526093e+18,457992716346996.4,2.0704168252277714e-13
3,1.1983218837219505e+18,446073902506485.9,2.0704128778907837e-13
4,2.4130040324384115e+17,133922097346050.83,7.955774059746513e-12
5,9.348525270646933e+16,65615308001257.8,1.1368902179926326e-11
6,2.8664452400779304e+16,26839393216778.047,2.2288722275704274e-11
7,9802272318839200.0,11811916343518.389,3.7706820193518275e-11
8,3339422024727769.5,5103993874709.975,6.727827710568851e-11
9,1202302461642593.8,2273634492171.7363,1.1807019035148226e-10
10,439668462201103.9,1031452178241.133,2.1121478721070378e-10
11,155553651453931.47,465579010164.03625,3.8226801307502825e-10
12,51795667534768.586,203534190974.60648,6.916083107629089e-10
13,16799031587365.12,87667233583.48953,1.2261145696010536e-09
14,5407309040868.602,37647162731.52677,2.1531106332413808e-09
15,1727561131651.4292,16135048718.739563,3.773523680960458e-09
16,545587631149.5493,6895656351.028334,6.603834523188857e-09
17,169117567702.82138,2931931361.9919214,1.1532305338600135e-08
18,51022295776.31375,1235135040.2209785,2.0061195597542165e-08
19,14981171007.103838,511837019.079198,3.465496351839269e-08
20,4501158780.778772,206706596.05332348,5.91195031925126e-08
21,1667874268.6246,81873081.46118525,9.878243534465562e-08
22,936774219.7734046,33883309.09739041,1.6118659751732648e-07
23,727865128.7415061,13876052.735870652,2.663265468421543e-07
24,671589921.8847382,4753445.7159811715,4.506879780792863e-07
25,662253903.1942904,1989799.791716801,6.820163520639058e-07
26,661738249.3290088,1842638.6033159115,3.7439813062923527e-07
27,661365399.9408381,764752.7576831795,1.9798703630231623e-07
28,661267608.9713247,635582.1281482454,1.8521993007204613e-07
29,661198037.746352,547574.3110002063,1.8522702039933137e-07
30,660985195.5098548,235970.15155652873,1.321054042392781e-06
31,660975208.0632052,234179.50574060486,1.801018567373786e-07
32,660911324.3903829,229344.00928249393,1.1885504080036196e-06
33,660848089.2900997,229329.88405655583,1.2022638128203592e-06
34,660783873.1915243,229320.57828659785,1.2210514605311715e-06
35,660640521.6359304,229687.25390736465,2.726442113087163e-06
36,660627107.0210898,229361.11780434859,2.548969745074855e-07
37,660617654.1771934,229289.62901540432,1.7974506644362432e-07
38,660608204.341872,229287.9801232089,1.7974506644362432e-07
39,660598663.6498004,229286.31568495315,1.8147586639548097e-07
40,1172485053.0637808,35860670.541949704,0.024999566469211955
41,33924034896.645615,881678448.6136483,4.656555185205677e-06
42,1785089688.9660037,26264699.962641902,1.6829610539709627e-07
43,1682726829.964637,21716005.27491106,1.6373321814942082e-07
44,1610223624.23924,19427515.75320304,1.6371604946146773e-07
45,1440467014.3128543,19039686.620912775,4.869672405139538e-07
46,1331809111.943445,21773841.292017058,2.798688933092389e-07
47,1420285326.154853,26710322.25523452,-2.1135860587583643e-06
48,2233608413.3273716,46382019.833786756,-1.1666929664896413e-06
49,67183528404491.734,288628391874.9419,-1.9342546732175858e-05
50,1259847651.6934092,39074908.0032453,3.1150253280931822e-09
51,1255105221.5368607,38838810.23550617,3.1154434791558137e-09
52,798808973.0800011,9556311.0751612,5.156152212015417e-07
53,759859944.8754904,2614366.6627095304,6.793879289399156e-07
54,756548613.7116482,682798.6359240073,9.236993229003023e-07
55,756303504.9592317,750370.254728787,9.721461795509595e-07
56,756121449.194631,521646.39871346793,4.3651903347900897e-07
57,756003366.4474273,521591.30407164845,4.339713027826257e-07
58,755885294.3113298,521545.92840538017,4.340158962931386e-07
59,755492627.3849537,521395.22679373267,1.443783202588219e-06
60,651027733.7151713,480983.52827781916,0.0004003048161519544
61,1300060029.275163,55430335.71799487,0.0011361666182552604
62,420476215.3161863,1541823.614719031,6.999765720855089e-07
63,419304587.7336835,798522.5638824612,7.183400257542674e-07
64,418956389.2234988,528156.466501994,8.528033578071698e-07
65,418839478.3365376,402108.66556513304,5.652148107671712e-07
66,418772182.0346482,379631.26538060623,4.3538038288585504e-07
67,418704073.3530872,374281.4563933636,4.766622660925627e-07
68,418624865.9612881,371783.18151977274,5.678247901179517e-07
69,418444781.86756086,370539.2045041442,1.3070718107728993e-06
70,418263861.532768,370442.42790305946,1.3178797908800339e-06
71,418077944.22293746,370343.00460174505,1.3549919573360915e-06
72,331306219.92129105,418778.2242302577,0.0006783623917950011
73,1098346210.0610523,9925958.291727027,0.0001667493296433101
74,315762999.47346354,2828431.050818411,4.393514613071561e-06
75,701180261.5307767,54829025.71234723,6.13478609511569e-06
76,313786749.9219744,1446408.356373993,3.028701950138505e-07
77,313363772.1378963,567434.0669474568,2.9527165768941483e-07
78,313269740.61598253,311241.94415819657,4.6642172869182796e-07
79,313248404.2887743,309944.3138687143,2.2086458538736113e-07
80,313206468.5181634,309466.769881188,4.371596504160162e-07
81,313163776.6644784,309412.1709412488,4.4581902734411483e-07
82,313118562.773159,309369.0556152463,4.723122570255198e-07
83,312851226.31481117,309195.27188546857,2.794199040141083e-06
84,312461162.2432211,308963.93552594323,4.082054890025217e-06
85,311802379.8469489,308840.62030711595,6.908529498488632e-06
86,311397552.23646677,309294.72434697556,4.258411868449468e-06
87,311231447.93383616,308197.69407582696,1.7433254512202735e-06
88,311083101.966537,308206.62370163144,1.562513501865796e-06
89,311011145.980954,308095.4644378023,7.581836870997856e-07
90,310966173.9346683,307986.5808103179,4.7393252643448816e-07
91,310921220.91444945,307957.2527802362,4.7393252643448816e-07
92,310873287.3930814,307926.66762958723,5.054521328506183e-07
93,310009291.08777094,307375.0310551639,9.120245430582693e-06
94,70480591.84478003,2015712.482471518,0.005090178511943546
95,619615951782.4158,8986359584.223658,0.0001160740592598394
96,71027395.90589255,2445695.2023448274,2.6047920010608966e-08
97,70875754.33946234,2316286.734064244,2.6040894368530785e-08
98,69585940.91396879,324818.49535644107,4.919343824848571e-07
99,69540422.59069005,287301.6395105448,4.7578780578861825e-07
100,69502712.04129657,274095.52463933156,4.676883460301624e-07
101,69460935.68431433,258944.6732990329,5.719136497690456e-07
102,69098174.38522738,50970.378728951764,1.0335728708213287e-05
103,69069946.42769146,56188.873922351464,1.0992524179852987e-05
104,69067494.75420405,57776.92884907269,9.725026558441194e-07
105,69066155.3533267,50625.83146475666,4.5397200825114406e-07
106,69064992.20601822,50625.28627613482,4.538295022826397e-07
107,69063829.08373706,50624.74225398939,4.538295022826397e-07
108,68750823.22695178,50481.51295277292,0.0001223083164444208
109,62916748.907625064,356802.4982074779,0.002392863363910529
110,64502206.129539594,2709919.175167675,4.18708671581709e-06
111,62862840.019666895,352830.51414109604,5.197627696142786e-07
112,62831684.566097856,78517.51093438844,4.6165766928310566e-07
113,62828664.731010206,75316.90589121563,5.033269310370754e-07
114,62825984.47733589,73282.01101732615,4.790311245626489e-07
115,62820829.76857048,69413.28104625676,9.86465885437064e-07
116,62784992.74374606,47893.97549576595,9.870611785033734e-06
117,62774941.373828016,47826.246132286826,4.386207603331211e-06
118,62756999.291302,49263.91307453665,7.866091392487071e-06
119,62755574.57623297,47897.31965835558,6.102686911148416e-07
120,62754484.586166136,47777.29324037258,4.763059540434631e-07
121,62753397.343998075,47776.6797482982,4.763059540434631e-07
122,62752307.69201028,47776.07972255838,4.773738537567637e-07
123,62666015.71722986,47749.63333911089,3.7823507561832075e-05
124,62573470.66570418,47789.67062971959,4.0640186003302276e-05
125,62538893.73635486,50360.85085834272,1.5210260630794556e-05
126,62536448.15285205,52055.23501327207,1.0929874423162657e-06
127,62535258.82085366,47697.70508924875,4.771748636588901e-07
128,62534173.23178617,47696.178272514735,4.771748636588901e-07
129,62533087.63457326,47694.74702733491,4.772085055145687e-07
130,62499529.35655511,47672.43285909424,1.4758791133820927e-05
131,62464989.97595253,47656.98027878451,1.5200771341544805e-05
132,62429447.41450813,47650.42419364983,1.5651960726640826e-05
133,62399537.86194966,53200.57282996969,1.3238079100553043e-05
134,62398290.7880359,47633.664579368124,4.906159730772433e-07
135,62397207.04942701,47628.88305204076,4.776811910998992e-07
136,62396123.4296839,47628.438699849634,4.776811910998992e-07
137,62394984.74950035,47627.971804381494,5.019624160633968e-07
138,44288693.82187541,314500.45436346374,0.00873972765434641
139,127112944.17774679,13079803.164376289,3.584635802446691e-05
140,44217764.27222636,220858.65665905128,8.498843892029852e-07
141,44205596.621968076,113088.73174181062,8.361522678265113e-07
142,44201236.50328761,48018.805829085184,5.969717698658764e-07
143,44200584.30686072,47457.312228702205,2.847114759211424e-07
144,44199309.15620315,46694.83540449571,5.71241420464341e-07
145,44196559.53612611,45307.446261631,1.2809775877286438e-06
146,44190889.15053269,43000.475101726166,2.8434608386420565e-06
147,44172085.858706295,40065.64972986053,1.0890721837732283e-05
148,44154843.399335176,45769.87762927295,1.083941895325111e-05
149,44153781.4161335,40038.8460096351,5.752344784624247e-07
150,44152869.73510773,40037.5937839503,5.687102069206284e-07
151,44151958.09256352,40037.155652348054,5.687102069206284e-07
152,44150801.75533096,40036.59992247143,7.213750057637087e-07
153,12040550.624829283,2333161.5095268684,0.03135319802673488
154,61106031.41728284,4513701.238209984,7.763119400624159e-06
155,13264323.060519299,2266068.645456523,2.6462366768876916e-06
156,45449048.88989364,9559709.688887503,5.313899548546729e-06
157,9571224.615333434,872797.7933209249,1.018388037973982e-06
158,9093767.974237792,291988.5551901226,9.332329123139913e-07
159,9036964.564475568,30589.615984798515,1.4013173073232587e-06
160,9035955.593700232,24376.271037154173,1.3268909822152326e-06
161,9035187.049682619,24368.12931051038,1.2937444050419487e-06
162,9034418.87115799,24364.684016462837,1.2937444050419487e-06
163,9033367.951509874,24359.97087508406,1.7704756376574908e-06
164,6800261.814894559,34841.0149916081,0.005296667235781654
165,47582112.35383858,3648596.625802865,0.001392233828377844
166,54835322.98882649,10914860.023593506,-1.4664976983983052e-05
167,80018107.31238136,14154814.974763965,7.377925410575621e-06
168,75273850.99350962,1403947.5738777444,3.212669337420347e-06
169,64620078.57018491,2797149.1838618657,3.562536838112253e-06
170,78129168.2101809,306180.3077368781,-3.538071350857716e-06
171,77574652.17841838,879701.9379302687,-1.3406780786952531e-05
172,78475802.64064196,528030.1941118382,-4.66095962697527e-06
173,2961145907.3130713,172765029.01365063,-0.00016373839250689311
174,56425051.97216119,3767481.4808667847,5.376533034740476e-07
175,48382976.80430404,3975494.9020987013,5.496165997503353e-07
176,18333669.88551394,3098402.0405100835,-9.828662244915322e-06
177,78161030.20436484,2322968.113612014,-9.828662244915322e-06
178,36705096.2907124,4002591.92209712,5.113990435460717e-06
179,74898734.12768225,2672092.293444928,-6.6589313581820455e-06
180,83305357.43445815,1649434.0206200785,-4.765908938322256e-06
181,62400249.90149922,3561875.9980884837,4.8012769166705416e-06
182,84129105.93365708,1301577.4866756687,-4.3780190084820555e-06
183,83003023.18242855,1987634.4736825146,-7.262677745616614e-06
184,90224844.992212,1169533.2090122413,-3.36593278743574e-06
185,96967854.40359029,2184367.9340790445,-3.632454169475802e-06
186,115754823.83926444,4659852.895241156,-2.600275627452344e-06
187,89460763.08387539,946705.5058049569,2.3022450255987976e-06
188,87428845.95772988,575006.2209394174,2.879302419114575e-06
189,85761390.77740067,295210.700858025,7.223802433248895e-06
190,85421128.61819398,322440.81244338525,3.895959389536859e-06
191,24547424904.358974,683988804.5939469,-0.0005820212172340834
192,204285650096.9871,3453327124.0272946,-1.452060204212289e-07
193,14827776648.489384,467801471.91495055,3.659957455973071e-08
194,7780165699.244209,286777508.2483125,4.051518101631878e-08
195,2141133517.3141572,109992370.41823636,1.0423756000307819e-07
196,713534648.7192099,49259788.26274448,1.6839500074154955e-07
197,212605114.9143563,20069336.354014676,3.0497822313245444e-07
198,71507256.27126397,8346206.3527935725,5.138757552248026e-07
199,30054491.41803745,3549232.931160563,8.726337194323706e-07
200,16944759.61491988,1651440.5802760702,1.4790183127901927e-06
201,11817689.858115762,750657.6850656638,2.7095228915354157e-06
202,10033455.083000395,495539.49167943915,4.850376070027826e-06
203,9765820.970283877,402661.0253693044,2.2718033201749735e-06
204,9614650.526996572,253166.09778424166,1.3547672863306785e-06
205,9534530.11625055,230036.42565401935,1.3147308766530673e-06
206,9467397.826383304,211269.09041823808,1.32311078594221e-06
