Iteration,Function,Gradient,Alpha
1,1.794386694877711e+18,603825414589484.8,0.1
2,751947852407685.9,1814981670872.158,2.0193881515588243e-11
3,687603161174533.6,1697087591845.5234,2.0193714548510665e-11
4,142580854292699.34,519903295614.1691,3.1088227257537875e-10
5,54997171798127.95,253085839569.333,4.4816461931503566e-10
6,17168278009215.791,103999786279.45924,8.731092046270824e-10
7,6032901996649.21,46027289675.57834,1.4809525627730719e-09
8,2151906671931.9016,20252777341.932076,2.6491076120260164e-09
9,804236266356.0463,9258334498.668446,4.693638052624619e-09
10,291525316839.8531,4229883204.569709,8.535465102739651e-09
11,98313998023.20744,1868295251.9394703,1.5551672248033952e-08
12,31585301783.989132,803765763.7687527,2.7755050427703472e-08
13,9959791124.579884,343606009.45363045,4.868345115751496e-08
14,3069364128.0165334,145942834.2507001,8.503211674756448e-08
15,914464227.2759585,61352216.99391357,1.4781443926509887e-07
16,260920931.17040333,25286322.218795244,2.5500829413221217e-07
17,73980294.39293277,10034428.983697467,4.33690046464296e-07
18,26087666.112171166,3718894.123671476,7.18258155474052e-07
19,15934200.024649102,1265523.795190975,1.1358996861060127e-06
20,14201843.242478307,413614.72722730273,1.6907356199277682e-06
21,13948284.23604811,100935.52555111222,2.4393855625095384e-06
22,13929191.04744048,35305.69453438621,3.185051169618924e-06
23,13924762.34580032,34938.61598615805,3.899833311899765e-06
24,13913648.22791709,129962.22434759211,2.192258668675059e-05
25,15377651.64462224,1441921.2282542714,1.8827557700370132e-05
26,13886990.200242318,110480.78402423057,1.615951581444185e-06
27,13876042.689163,35370.27993203381,1.5071626940327596e-06
28,13873855.19467613,33389.85754417871,1.8560250883111553e-06
29,13856332.077847946,35909.74513716111,1.6016319330785675e-05
30,21966357.519363526,3460042.075570606,0.0004291008244173663
31,61895346.655140184,3647035.158748156,1.321106503098721e-05
32,25638737124.407024,770683678.6731882,4.148606368990532e-05
33,254858596.88557252,25379710.52306672,2.229991163815979e-07
34,139223264.30303833,16242187.902009476,2.2122814229334012e-07
35,36415100.53244709,5447521.988597452,6.128614452354233e-07
36,18055517.893504232,2087306.752001702,9.209742857737911e-07
37,13952940.339674946,666966.6838189255,1.4862703159909308e-06
38,13352941.5129944,197801.6800241694,2.1269517698691494e-06
39,13285517.63901826,43628.781654825114,3.0034647197620867e-06
40,13280364.376414314,34285.2486844398,3.5769413329487557e-06
41,13273542.71219119,48482.36939761976,7.3732813306246165e-06
42,13344809.396085765,322013.36587424454,1.7292103631339187e-05
