Iteration,Function,Gradient,Alpha
1,3630195.778859129,1082632.4374246038,1.52587890625e-05
2,38027.069833231944,25924.387097239356,1.52587890625e-05
3,6490.575691750408,9675.284345639206,0.000244140625
4,3782.9229254858187,4359.959027732773,0.0009765625
5,3254.981767180603,5030.270488320536,0.000244140625
6,1965.4404590914178,1669.0285676824471,0.0001220703125
7,1846.4641294151254,1004.7899768138377,0.0001220703125
8,1841.9478796720875,1704.136026965636,0.000244140625
9,1743.7964125694166,959.597455406119,0.0001220703125
10,1696.7828938453054,568.2491305628946,0.0001220703125
11,1677.6018073761793,848.5908887673924,0.000244140625
12,1641.834534847655,494.956390597504,0.0001220703125
13,1627.604381765142,748.4954109901203,0.000244140625
14,1599.220408967108,440.1426479704379,0.0001220703125
15,1585.68791162516,654.5736815510821,0.000244140625
16,1562.8685835023298,395.1250961634419,0.0001220703125
17,1548.848158189609,567.7044675649445,0.000244140625
18,1530.3618412098733,357.4677953914394,0.0001220703125
19,1515.6961222775992,489.81629025781507,0.000244140625
20,1514.3235512825056,818.1868379251587,0.000244140625
21,1486.2009981095057,444.2840453451926,0.0001220703125
22,1481.6562405128334,718.7921548310208,0.000244140625
23,1458.4549093842297,397.6894478775467,0.0001220703125
24,1450.961768182658,615.9498386168722,0.000244140625
25,1432.3328958747952,353.73219432390357,0.0001220703125
26,1422.4752851787248,517.38636804173,0.000244140625
27,1407.7135192165526,315.59477160660435,0.0001220703125
28,1396.2150239133791,429.9267492246485,0.000244140625
29,1393.7199274555105,671.7546179743678,0.000244140625
30,1371.3864077522908,339.594089130521,0.0001220703125
31,1362.7432355950862,485.3900626319077,0.000244140625
32,1348.9539636178774,286.12479363896495,0.0001220703125
33,1343.6856178007438,745.3107357491798,0.00048828125
34,1316.9816189577375,341.50877247695234,0.0001220703125
35,1309.982310837591,492.22097473908855,0.000244140625
36,1296.0980544067254,274.85626142538456,0.0001220703125
37,1291.4861861359316,712.1636359973473,0.00048828125
38,1266.519884000107,316.8504411022969,0.0001220703125
39,1259.146291529767,442.07662647035903,0.000244140625
40,1247.277949991671,253.63187348884182,0.0001220703125
41,1237.9518250662886,595.0803185346856,0.00048828125
42,1219.3251736079965,277.3860583482572,0.0001220703125
43,1164.6204578230459,2942.8637243481544,0.033203125
44,891.5113279911619,2157.0673639016727,0.001953125
45,453.4151936556787,862.2306612448058,0.000244140625
46,411.1214193511888,564.5180050856723,0.000244140625
47,383.35693518156546,355.8417201667897,0.000244140625
48,369.3993361603482,256.6788242416543,0.000244140625
49,361.79390186261094,414.8864098065727,0.00048828125
50,348.79322818230105,272.31719306522035,0.000244140625
51,340.4446484818453,191.29010282790944,0.000244140625
52,335.0296352357451,293.16302449342305,0.00048828125
53,326.8440693697665,190.35326613465628,0.000244140625
54,324.3937185760018,313.6071267849921,0.00048828125
55,315.81451178059103,191.83442150778384,0.000244140625
56,213.07354311903404,361.31164474201745,0.03125
57,197.9843649825998,129.63223458672945,0.000244140625
58,192.8171071482515,461.1771714306811,0.001953125
59,169.4266087546814,123.99838774563277,0.000244140625
60,162.75725851782965,232.91058439211648,0.0009765625
61,159.2807322869355,253.49866475081635,0.00048828125
62,155.18370949850362,277.1699683749414,0.00048828125
63,152.65177254278103,296.66176667528805,0.00048828125
64,148.52263188776934,317.92153339742146,0.00048828125
65,146.73092354911705,333.1126124678141,0.00048828125
66,142.09903055944534,348.16595207055923,0.00048828125
67,140.6613778913081,356.5742326129449,0.00048828125
68,135.24115685005995,362.63043697125096,0.00048828125
69,133.69471597964304,363.0390671499129,0.00048828125
70,127.56844916606732,359.10358349449007,0.00048828125
71,125.55044771076129,351.704520885011,0.00048828125
72,119.13548080265647,338.73284902629445,0.00048828125
73,116.52017582405796,324.86468505571855,0.00048828125
74,110.34663032477735,305.24602296106934,0.00048828125
75,107.25592881251194,286.9320991354697,0.00048828125
76,101.73466292357509,263.67673955646967,0.00048828125
77,98.43467791014311,243.17902363187915,0.00048828125
78,93.75255886472516,219.20903138173784,0.00048828125
79,90.51749903858048,198.68927655367264,0.00048828125
80,86.66211672511781,176.3996237127763,0.00048828125
81,83.68025178394396,157.68216927133173,0.00048828125
82,80.52340048841891,138.74475292124632,0.00048828125
83,77.87145858924691,123.15038502223635,0.00048828125
84,75.24941328914915,108.4645971422942,0.00048828125
85,72.91849892505988,96.68701039911134,0.00048828125
86,70.68280177206222,86.38387350010187,0.00048828125
87,69.61423299656113,162.43343749282212,0.0009765625
88,66.47215624087588,132.00105202664966,0.00048828125
89,64.1328090785608,110.05586695554491,0.00048828125
90,61.956487397698595,91.78138913663383,0.00048828125
91,60.099791314632576,78.92037327127566,0.00048828125
92,59.335210407908576,151.49173154165584,0.0009765625
93,56.82862753647096,118.83898002562958,0.00048828125
94,54.639519943410065,92.87701515616635,0.00048828125
95,52.95162698748012,76.05658683587208,0.00048828125
96,52.625543319499066,147.23961017823717,0.0009765625
97,50.21000167251669,110.07695058899908,0.00048828125
98,48.26524569374284,82.5567378986644,0.00048828125
99,46.83315909206608,66.12398901528225,0.00048828125
100,46.148503545868905,119.86390759464372,0.0009765625
101,44.23435921567939,87.02309096321981,0.00048828125
102,42.77242566505652,65.20633973369354,0.00048828125
103,42.381363670128984,116.1789663492764,0.0009765625
104,40.36981046854195,78.89350576326673,0.00048828125
105,39.14283412023979,59.0652203485797,0.00048828125
106,38.61997089804488,104.11983562382164,0.0009765625
107,37.033544247878595,71.19049255215268,0.00048828125
108,35.93275044135444,52.13558339399823,0.00048828125
109,35.220127364475,84.25665884417315,0.0009765625
110,33.92804125411402,56.55737364212916,0.00048828125
111,33.65365137763844,97.20947492408978,0.0009765625
112,32.102519682670675,60.71111464059779,0.00048828125
113,31.24782207571917,44.47022931192749,0.00048828125
114,30.507009605108465,67.7958881459294,0.0009765625
115,29.582575565534597,46.263567654232595,0.00048828125
116,29.05267251994566,74.2744253602423,0.0009765625
117,28.046045474031374,47.77061918304112,0.00048828125
118,27.69189472017913,79.0327366090961,0.0009765625
119,26.614065728702577,48.476364035445364,0.00048828125
120,26.379335899055768,81.17434418060594,0.0009765625
121,25.266652831910868,48.00536527392472,0.00048828125
122,25.082872585938276,80.17336475366005,0.0009765625
123,23.990522860964617,46.209676844717116,0.00048828125
124,23.792079851415565,75.98150776001569,0.0009765625
125,22.779983815552484,43.20891910960896,0.00048828125
126,22.519277544560858,69.05785054821038,0.0009765625
127,21.635304439718993,39.37076723200555,0.00048828125
128,21.291560749067997,60.29667154347704,0.0009765625
129,20.559113239064487,35.22579588150219,0.00048828125
130,20.137425696310842,50.854955064132355,0.0009765625
131,19.552665076901846,31.326539892341216,0.00048828125
132,19.074959540623077,41.91382248705289,0.0009765625
133,18.92791446242326,64.6675243104321,0.0009765625
134,18.0874201773119,32.9812604983643,0.00048828125
135,17.721337912914905,46.08942121652779,0.0009765625
136,17.207505812525035,27.525760360083478,0.00048828125
137,16.872700569551654,67.6387323297489,0.001953125
138,15.962556892985155,31.13671361210287,0.00048828125
139,15.644883356863133,42.721340169382344,0.0009765625
140,15.627614240248867,65.98159950728899,0.0009765625
141,14.796728375531636,30.542777029209063,0.00048828125
142,14.512568296548665,42.1254790053168,0.0009765625
143,14.084699371289283,24.0474536889118,0.00048828125
144,13.739936908195268,56.26625901180349,0.001953125
145,13.091744538305825,25.976640766061035,0.00048828125
146,12.793962014037533,33.27456996577236,0.0009765625
147,12.63619467395597,46.53398973428889,0.0009765625
148,12.137686287161117,22.31274288403424,0.00048828125
149,11.859939931224872,50.88429710495333,0.001953125
150,11.284416637166721,21.9054790979989,0.00048828125
151,11.089859869299453,51.71346945562405,0.001953125
152,10.497118883770788,20.97143924301406,0.00048828125
153,10.3087680752827,48.79246669463029,0.001953125
154,9.770924232894373,19.608060161398978,0.00048828125
155,9.536451486950575,42.95400263647562,0.001953125
156,9.102725186746518,18.065856412787827,0.00048828125
157,8.808051656184446,35.61628474644716,0.001953125
158,8.779805119513291,48.11647526272285,0.0009765625
159,8.272702074595735,18.03127984596279,0.00048828125
160,8.104990035686697,40.51988304159698,0.001953125
161,7.725048480706221,16.329135623153824,0.00048828125
162,7.479343087829406,31.806011235733145,0.001953125
163,7.4327087473999285,40.68635366831502,0.0009765625
164,7.03778084441425,14.925263022521552,0.00048828125
165,6.850016304551836,50.702111744846235,0.00390625
166,6.256850782924012,14.20405749676559,0.00048828125
167,6.226771411170404,52.644943522822274,0.00390625
168,5.582634197587204,13.007289415296793,0.00048828125
169,5.490753388302551,45.30508537006003,0.00390625
170,5.001806423485682,11.610994786357857,0.00048828125
171,4.776250413674816,33.04480882032195,0.00390625
172,4.7565026648815305,38.549263033231746,0.0009765625
173,4.405614432982773,10.604999089346732,0.00048828125
174,4.219659811221021,30.444402452858462,0.00390625
175,4.199180330664031,34.20377675097668,0.0009765625
176,4.181217036943632,38.53704957773407,0.0009765625
177,3.828016033911833,9.387989331539597,0.00048828125
178,3.7603218089162276,48.000752739006295,0.0078125
179,3.217360790661335,8.160027418848966,0.00048828125
180,3.1783781959148243,41.71840293318434,0.0078125
181,3.172993295828828,42.6867833413744,0.0009765625
182,3.1282277323023706,43.54376283670207,0.0009765625
183,3.1214371472586,44.153531791131755,0.0009765625
184,3.0691125344904435,44.611099850013865,0.0009765625
185,3.0584416373643144,44.83622950037231,0.0009765625
186,2.9985191948434036,44.87582688703331,0.0009765625
187,2.9821511477883647,44.71276208902881,0.0009765625
188,2.9157627848445635,44.341299023108554,0.0009765625
189,2.8927758695667904,43.80796312829329,0.0009765625
190,2.8219714454333023,43.05581629586263,0.0009765625
191,2.792411993569676,42.18879861327027,0.0009765625
192,2.7197587558288596,41.105652695891315,0.0009765625
193,2.6845400845516565,39.956078788242955,0.0009765625
194,2.612683797575311,38.6053682947225,0.0009765625
